artist,date,album,track_n,track_title,line,lyric
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,57,Baby as the lights go down
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,58,Give me something that'll haunt me
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,59,When you're not around
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,60,Cause I see Sparks Fly
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,61,Whenever you smile
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,62,When the sparks fly
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,63,Oh baby smile
Taylor Swift,2011/11/21,Speak Now World Tour Live,1,Sparks Fly,64,When the sparks fly
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,1,Oh oh~oh~
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,2,Oh oh~oh~
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,3,You were in college working part time waiting tables
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,4,Left a small town never looked back
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,5,I was a flight risk with a fear of falling
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,6,Wondering why we bother with love if it never lasts
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,7,I say can you believe it?
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,8,As we're lying on the couch
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,9,The moment I could see it
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,10,"Yes, yes I can see it now"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,11,Do you remember we were sitting there by the water?
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,12,You put your arm around me for the first time
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,13,You made a rebel of a careless man's careful daughter
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,14,You are the best thing that's ever been mine
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,15,Flash forward and we're taking on the world together
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,16,And there's a drawer of my things at your place
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,17,You learn my secrets and you figure out why I'm guarded
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,18,You say we'll never make my parents' mistakes
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,19,"But we got bills to pay, we got nothing figured out"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,20,When it was hard to take
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,21,"Yes, yes, this is what I thought about"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,22,Do you remember we were sitting there by the water?
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,23,You put your arm around me for the first time
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,24,You made a rebel of a careless man's careful daughter
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,25,You are the best thing that's ever been mine
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,26,Do you remember all the city lights on the water?
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,27,You saw me start to believe for the first time
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,28,You made a rebel of a careless man's careful daughter
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,29,You are the best thing that's ever been mine
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,30,"And I remember that fight, 2:30 am"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,31,As everything was slipping right out of our hands
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,32,I ran out crying and you followed me out into the street
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,33,Braced myself for the goodbye
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,34,Cause that's all I've ever known
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,35,Then you took me by surprise
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,36,You said I'll never leave you alone
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,37,You said I remember how we felt sitting by the water
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,38,"And every time I look at you, it's like the first time"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,39,I fell in love with a careless man's careful daughter
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,40,She is the best thing that’s ever been mine
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,41,"Hold on, make it last"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,42,"Hold on, never turn back"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,43,You made a rebel of a careless man's careful daughter
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,44,You are the best thing that's ever been mine
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,45,"Yes, yes do you believe it?"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,46,"Yes, yes we're gonna make it now"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,47,"Yes, yes I can see it"
Taylor Swift,2011/11/21,Speak Now World Tour Live,2,Mine,48,I can see it now
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,1,I used to think one day we'd tell the story of us
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,2,How we met and the sparks flew instantly
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,3,And people would say they're the lucky ones
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,4,I used to know my place was a spot next to you
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,5,Now I'm searching the room for an empty seat
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,6,Cause lately I don't even know what page you're on
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,7,"Oh, a simple complication,"
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,8,miscommunications lead to fall out
